canonical_name,alias_name
Miss Bellatrix Hogwarts,
Miss Bellatrix Hogwarts,Hogwarts
Miss Bellatrix Hogwarts,Bellatrix Hogwarts
Dr. Severus Tournament,
Dr. Severus Tournament,Dr. Tournament
Dr. Severus Tourna,
Mr. Tina Hogwarts,
Mr. Tina Hogwarts,Mr. Hogwarts
Mr. Tina Hogwarts,Tina Hogwarts
Ginny Philosopher,
Ginny Philosopher,Philosopher
Ginny Philosopher,Mr. Philosopher
Granger Chudley,
Mr. Tina Hogwar,
Mandrake Wands,
Philosopher I,
Potter Moony,
Mrs. Basilisk,
Dr. Snitch,
Mr. Tonks,
Mr. Tonks,Tonks
Bellatrix,
Wizardry,
Cissa,
Find,
Tina,
david,
brannan,
al,
haines,
arthur,
doyle,
sherlock,
holmes,
moore,
agar,
roundhay,
mortimer,
tregennis,
owen,
george,
brenda,
tredannick,
wartha,
richards,
porter,
watson,
leon,
sterndale,
satan,
