canonical_name,alias_name
Mr. Akerman Capshaw,
Mr. Akerman Capshaw,Akerman Capshaw
Kendrick Deschanel,
Miss Jackman Rapp,
Miss Jackman Rapp,Rapp
Miss Jackman Rapp,Miss Rapp
Miss Jackman Rapp,Jackman Rapp
Dickinson Ruffalo,
Dickinson Ruffalo,Ruffalo
Dickinson Ruffalo,Mr. Ruffalo
Mr. Pitt Ruffalo,
Mr. Pitt Ruffalo,Pitt Ruffalo
Cummings Ruffalo,
Mr. Black Cobain,
Mr. Black Cobain,Cobain
Mr. Black Cobain,Mr. Cobain
Mr. Black Cobain,Black Cobain
Gyllenhaal Tyson,
Gyllenhaal Tyson,Tyson
Judge Tyson,
Mrs. Tyson,
Miss Zane Smith,
Miss Zane Smith,Miss Smith
Miss Zane Smith,Zane Smith
James Garfunkel,
James Garfunkel,Garfunkel
James Garfunkel,Miss Garfunkel
Hawke Williams,
Hawke Williams,Williams
Phillips Taika,
Phillips Taika,Taika
Phillips Taika,Mr. Taika
Quaid Davidson,
Quaid Davidson,Davidson
Quaid Davidson,Mrs. Davidson
Akerman Kline,
Akerman Kline,Kline
Affleck Scott,
Affleck Scott,Scott
Astin Saldana,
Elgort Thomas,
Elgort Thomas,Thomas
Elgort Thomas,Miss Thomas
Olsen Benning,
Pearson Depp,
Pearson Depp,Depp
Pearson Depp,Mr. Depp
Dookie Gable,
Pugh D'arcy,
Brolin Diaz,
Brolin Diaz,Diaz
Mrs. Diaz,
Mr. Diaz,
Barbra Diaz,
Cyndi Diaz,
Scott Ice,
Scott Ice,Ice
Scott Ice,Miss Ice
Mrs. Elliott,
Christenson,
Miss Brolin,
Miss Brolin,Brolin
Mr. Roberts,
Mr. Roberts,Roberts
Gyllenhaal,
Beckinsale,
Mrs. Urban,
Johansson,
Hemsworth,
Mrs. Hart,
Mrs. Hart,Hart
Cummings,
Calloway,
Phillips,
Mr. Penn,
Mr. Penn,Penn
Pearson,
Zendaya,
Akerman,
Beckham,
Winslet,
O'brien,
Palmer,
Wright,
Kidman,
O'neal,
Elgort,
Foster,
Ledger,
Barbra,
Jolie',
Jolie',Jolie
Corbin,
Bonham,
Moore,
Crowe,
Lewis,
Cyndi,
Black,
Irwin,
Quaid,
Segel,
James,
Grant,
Nixon,
Pitt,
Zane,
Zeta,
Bach,
Barr,
Day,
Gad,
Bateman,
Iger,
Gere,
Lee,
Lively,
Wayans,
Cooper,
Vance,
Blythe,
Hiddleston,
Boomer,
Baldwin,
Brown,
Clooney,
Arnold,
Washington,
Koshy,
Young,
Cage,
