canonical_name,alias_name
Clancy Dean,
Miss Arthur,
Miss Arthur,Arthur
Clancy,
Darcy,
Tom,
cornwell,
roche,
ethel,
philip,
deane,
grannis,
ladue,
morris,
beiner,
napoli,
paul,
frank,
miller,
hetty,
fanchon,
stephen,
burgess,
fay,
marston,
cl,
florine,
ziegfeld,
flo,
ike,
weber,
webers,
branwyn,
bruce,
fairchild,
zenda,
mabel,
penniman,
griffin,
lallo,
lal,
randall,
david,
maggie,
smith,
hildebloom,
amachoor,
fanny,
lemuel,
burkan,
fred,
garbey,
mary,
simon,
gerand,
vi,
sophie,
carey,
jennie,
sally,
henderson,
zenith,
guernsey,
god,
conover,
care,
gerund,
don,
walbrough,
vandervent,
a,
jones,
mortimer,
darnleigh,
cavanagh,
phil,
donald,
xviii,
spofford,
walbroughs,
martha,
farrar,
johansen,
xxiv,
rayburn,
tommy,
fate,
ragan,
maria,
xxvii,
garland,
hebron,
hinsdale,
nev,
sam,
jack,
henty,
penwell,
sage,
