character1,character2,count
Mr. Prisoner,Mr. Prisoner Bludger,18
Hermione Goblet,Mr. Prisoner Bludger,7
Hermione Goblet,Mr. Prisoner,6
Hermione Goblet,Mcgonagall,5
Miss Black Bludger,Mr. Prisoner Bludger,4
Miss Black,Miss Black Bludger,3
Miss Black,Mr. Prisoner Bludger,3
Mr. Prisoner Bludger,Them,3
Astoria,Mr. Prisoner Bludger,2
Goblet Bludger,Hermione Goblet,2
Goblet Bludger,Mr. Prisoner Bludger,2
Mr. Prisoner,Them,2
Phoenix,Them,2
Astoria,Astoria Bludger,1
Astoria,Mr. Prisoner,1
Astoria Bludger,Mr. Prisoner Bludger,1
Gilderoy,Hermione Goblet,1
Gilderoy,Mcgonagall,1
Hermione Goblet,Miss Black,1
Hermione Goblet,Miss Fleur,1
Hermione Goblet,Them,1
Mcgonagall,Miss Black,1
Mcgonagall,Mr. Prisoner Bludger,1
Neville Harry,Pomona,1
Neville Harry,Them,1
Pomona,Them,1
Scorpius Queenie,Sorting Diagon,1
