char_id,name,story_title,is_victim
1,Aloysius,The Adventure of Wisteria Lodge,0
2,Arthur,The Adventure of Wisteria Lodge,0
3,Brannan,The Adventure of Wisteria Lodge,1
4,Carruthers Eckermann,The Adventure of Wisteria Lodge,1
5,Colonel Marx,The Adventure of Wisteria Lodge,1
6,Constable Signora,The Adventure of Wisteria Lodge,0
7,Constable Stone,The Adventure of Wisteria Lodge,0
8,D',The Adventure of Wisteria Lodge,0
9,David,The Adventure of Wisteria Lodge,0
10,Don,The Adventure of Wisteria Lodge,0
11,Doyle Signor,The Adventure of Wisteria Lodge,0
12,Dr. Arthur,The Adventure of Wisteria Lodge,0
13,Durando,The Adventure of Wisteria Lodge,0
14,Esher Jove,The Adventure of Wisteria Lodge,1
15,Garcia,The Adventure of Wisteria Lodge,0
16,George,The Adventure of Wisteria Lodge,0
17,Godspeed Inspector,The Adventure of Wisteria Lodge,0
18,Godspeed Murillo,The Adventure of Wisteria Lodge,0
19,Harringby,The Adventure of Wisteria Lodge,1
20,Henderson Signor,The Adventure of Wisteria Lodge,0
21,Hudson Lee,The Adventure of Wisteria Lodge,0
22,I,The Adventure of Wisteria Lodge,0
23,Inspector,The Adventure of Wisteria Lodge,1
24,Inspector (no first name mentioned),The Adventure of Wisteria Lodge,0
25,James God,The Adventure of Wisteria Lodge,0
26,John,The Adventure of Wisteria Lodge,0
27,John Carruthers Eckermann,The Adventure of Wisteria Lodge,0
28,Jose Baynes,The Adventure of Wisteria Lodge,0
29,Jove,The Adventure of Wisteria Lodge,0
30,Juan,The Adventure of Wisteria Lodge,1
31,Lodge,The Adventure of Wisteria Lodge,0
32,Lopez,The Adventure of Wisteria Lodge,0
33,Lord Warner,The Adventure of Wisteria Lodge,1
34,Marquess of Montalva,The Adventure of Wisteria Lodge,0
35,Miss Lodge,The Adventure of Wisteria Lodge,1
36,Mr. Carruthers Eckermann,The Adventure of Wisteria Lodge,0
37,Mr. Downing Walters,The Adventure of Wisteria Lodge,0
38,Mr. Garcia,The Adventure of Wisteria Lodge,0
39,Mr. Godspeed,The Adventure of Wisteria Lodge,0
40,Mr. Gregson Gregson,The Adventure of Wisteria Lodge,0
41,Mr. Harringby,The Adventure of Wisteria Lodge,1
42,Mr. Inspector,The Adventure of Wisteria Lodge,0
43,Mr. Murillo,The Adventure of Wisteria Lodge,0
44,Mrs. Holmes,The Adventure of Wisteria Lodge,0
45,Murillo,The Adventure of Wisteria Lodge,0
46,Oxshott,The Adventure of Wisteria Lodge,0
47,Rev. Joshua Ffolliott,The Adventure of Wisteria Lodge,0
48,Scott Aloysius,The Adventure of Wisteria Lodge,1
49,Sherlock,The Adventure of Wisteria Lodge,1
50,Sherlock Garcia,The Adventure of Wisteria Lodge,0
51,Signor,The Adventure of Wisteria Lodge,0
52,Signora,The Adventure of Wisteria Lodge,1
53,Sir Lucas Dolores,The Adventure of Wisteria Lodge,1
54,Sir Williams Eccles,The Adventure of Wisteria Lodge,0
55,Stone,The Adventure of Wisteria Lodge,1
56,The Tiger of San Pedro,The Adventure of Wisteria Lodge,1
57,Wisteria,The Adventure of Wisteria Lodge,1
58,mulatto cook,The Adventure of Wisteria Lodge,0
59,my host,The Adventure of Wisteria Lodge,0
60,policeman Stone,The Adventure of Wisteria Lodge,0
61,the Englishman,The Adventure of Wisteria Lodge,0
62,the cook,The Adventure of Wisteria Lodge,1
63,the woman whose husband he had hurried at an hour's notice into eternity,The Adventure of Wisteria Lodge,1
