char_id,name,story_title
1,Dr. Seddar,The Adventure of the Mazarin Stone
2,Billy,The Adventure of the Mazarin Stone
3,Mr. Sylvius,The Adventure of the Mazarin Stone
4,Mrs. Holmes,The Adventure of the Mazarin Stone
5,Lord Minnie,The Adventure of the Mazarin Stone
6,Prime Minister,The Adventure of the Mazarin Stone
7,Home Secretary,The Adventure of the Mazarin Stone
8,Seddar,The Adventure of the Mazarin Stone
9,Sylvius,The Adventure of the Mazarin Stone
10,Tussaud,The Adventure of the Mazarin Stone
11,Negretto Tussaud,The Adventure of the Mazarin Stone
12,Watson Straubenzee,The Adventure of the Mazarin Stone
13,Hudson,The Adventure of the Mazarin Stone
14,Ikey,The Adventure of the Mazarin Stone
15,Count Tussaud,The Adventure of the Mazarin Stone
16,Tavernier,The Adventure of the Mazarin Stone
17,Baron Youghal,The Adventure of the Mazarin Stone
18,Old Baron Youghal,The Adventure of the Mazarin Stone
19,The Count,The Adventure of the Mazarin Stone
20,Mr. Straubenzee,The Adventure of the Mazarin Stone
21,Straubenzee,The Adventure of the Mazarin Stone
22,Merton,The Adventure of the Mazarin Stone
23,Dowson Merton,The Adventure of the Mazarin Stone
24,Count,The Adventure of the Mazarin Stone
25,Madame Harold,The Adventure of the Mazarin Stone
26,Sam Cantlemere,The Adventure of the Mazarin Stone
27,Holmes,The Adventure of the Mazarin Stone
