character1,character2
Colin Pomona Queenie,Colin Dennis Seeker
Colin Pomona Queenie,Maître Henri Dennis
Colin Dennis Seeker,Maître Henri Dennis
Colin Pomona Queenie,_Regulus Severus_
Colin Boggart,_Regulus Severus_
_Colin Severus_,_Regulus Severus_
_Colin Severus_,Madame Pettigrew
_Regulus Severus_,Madame Pettigrew
_Colin Severus_,Colin Boggart
Colin Pomona Queenie,Colin Chudley
Colin 'Binns Child',Colin Pomona Queenie
Maître Henri Dennis,Colin Dennis Seeker
Maître Henri Dennis,_Regulus Severus_
Colin Dennis Seeker,_Regulus Severus_
_Colin Severus_,Maître Henri Dennis
_Colin Severus_,Colin Dennis Seeker
_Colin Severus_,Colin Pomona Queenie
Colin Dennis Seeker,Colin Pomona Queenie
_Regulus Severus_,Maître Henri Dennis
Colin Pomona Queenie,Colin Frédéric Bludger
Colin Pomona Queenie,Colin Bathilda
Colin Dennis Seeker,Colin Bathilda
Maître Henri Dennis,Colin Bathilda
Colin Frédéric Bludger,Colin Dennis Seeker
Colin Frédéric Bludger,Maître Henri Dennis
Colin Pomona Queenie,Colin Boggart
Colin Boggart,Colin Dennis Seeker
Colin Frédéric Bludger,Colin Boggart
Maître Henri Dennis,Colin Pomona Queenie
Colin Frédéric Bludger,_Regulus Severus_
Colin Boggart,Maître Henri Dennis
Colin Frédéric Bludger,Colin Pomona Queenie
_Colin Severus_,Colin Frédéric Bludger
Maître Henri Dennis,Leta William School
Leta William School,Colin Dennis Seeker
Leta William School,_Regulus Severus_
Maître Henri Dennis,Colin Frédéric Bludger
_Colin Severus_,Colin Bathilda
_Regulus Severus_,Colin Bathilda
_Colin Severus_,Madame Grindelwald
_Regulus Severus_,Madame Grindelwald
Colin Pomona Queenie,Madame Grindelwald
Colin Pomona Queenie,Leta William School
Colin Pomona Queenie,Madame Pettigrew
Leta William School,Madame Pettigrew
_Colin Severus_,Leta William School
Leta William School,Madame Grindelwald
Colin Frédéric Bludger,Madame Grindelwald
Colin Frédéric Bludger,Leta William School
Madame Grindelwald,Colin Boggart
Madame Grindelwald,Colin Dennis Seeker
Madame Grindelwald,_Regulus Severus_
Madame Grindelwald,Leta William School
Colin Boggart,Leta William School
Colin Dennis Seeker,Leta William School
_Regulus Severus_,Leta William School
Maître Henri Dennis,Madame Grindelwald
Colin President,Colin Pomona Queenie
Colin President,Maître Henri Dennis
Colin President,Colin Frédéric Bludger
Colin Pomona Queenie,Colin President
Colin Frédéric Bludger,Colin President
_Regulus Severus_,Colin President
Colin Boggart,Madame Grindelwald
Colin President,Madame Grindelwald
Colin Boggart,Madame Pettigrew
Colin President,Leta William School
Colin President,Madame Pettigrew
Colin President,_Regulus Severus_
Colin President,Colin Dennis Seeker
_Colin Severus_,Colin President
Maître Henri Dennis,Colin Boggart
Colin Dennis Seeker,Colin Boggart
_Colin Severus_,Colin Tonks Weasley
_Regulus Severus_,Colin Tonks Weasley
