canonical_name,alias_name
Monsieur Sacre Holmes,
Monsieur Sacre Holmes,Holmes
Monsieur Sacre Holmes,"Holmes, Esq."
Monsieur Sacre Holmes,Sacre Holmes
Monsieur Sacre Holmes,Monsieur Holmes
Mr. Monsieur Holmes,
Mr. Monsieur Holmes,Mr. Holmes
Mr. Monsieur Holmes,Mr. Sacre Holmes
Mrs. Holmes,
Lawrence Heavywether,
Lawrence Heavywether,Heavywether
Lawrence Heavywether,Miss Heavywether
Inglethorpe Manning,
Inglethorpe Manning,Manning
Inglethorpe Manning,Miss Manning
Sherlock Bauerstein,
Sherlock Bauerstein,Bauerstein
Sir Japp Summerhaye,
Sir Japp Summerhaye,Summerhaye
Sir Japp Summerhaye,Japp Summerhaye
Monsieur Inglethorp,
Monsieur Inglethorp,Inglethorp
Mrs. Inglethorp,
Mrs. Inglethorp,Mrs Inglethorp
Mr. Inglethorp,
Heavywether Altara,
Heavywether Altara,Miss Altara
Alfred Inglethorpe,
Alfred Inglethorpe,Inglethorpe
Monsieur Christie,
Monsieur Christie,Christie
Monsieur Christie,Mr. Christie
Annie Bauerstein,
Monsieur Parkson,
Monsieur Parkson,Parkson
Lawrence Hercule,
Lawrence Hercule,Hercule
Emily Inglethorp,
Hercule Parkson,
Cavendish Denby,
Monsieur Sacre,
Monsieur Sacre,Sacre
Elizabeth Papa,
Elizabeth Papa,Papa
Elizabeth Papa,Mr. Papa
Baily Parkson,
Albert Evelyn,
Albert Evelyn,Evelyn
Albert Evelyn,Mr. Evelyn
Wells Holmes,
Ernest Court,
Ernest Court,Mrs. Court
Moosier Earl,
Moosier Earl,Earl
Moosier Earl,Dr. Earl
Amy Raikes,
Emily Ing,
John Prys,
Superintendent Mace,
Superintendent Mace,Mace
Lady Tadminster,
Mr. Hastings,
Mr. Hastings,Hastings
Mr. Monsieur,
Mr. Monsieur,Monsieur
Mademoiselle,
Mrs. Yessir,
Mrs. Dorcas,
Elizabeth,
Dr. Haman,
Dr. Haman,Haman
Sir Japp,
Lawrence,
Console,
Cynthia,
Crosbie,
Philips,
William,
Moosier,
Styles,
Ernest,
Agatha,
Alfred,
Howard,
Baily,
Wells,
Emily,
John,
Jack,
Mary,
Nibs,
poirot,
evie,
murdoch,
abbotsbury,
rolleston,
inglethorps,
wilkins,
willum,
hill,
james,
jimmy,
j,
l,
counsel,
