char_id,name,story_title,is_victim
1,Annie,The Naval Treaty,0
2,Annie Hudson,The Naval Treaty,1
3,Briarbrae,The Naval Treaty,1
4,Briarbrae Harrison,The Naval Treaty,1
5,Charles,The Naval Treaty,0
6,Dr. Phelps,The Naval Treaty,0
7,Dubuque,The Naval Treaty,0
8,Forbes,The Naval Treaty,0
9,Fritz von Waldbaum,The Naval Treaty,0
10,Harrison,The Naval Treaty,1
11,Him,The Naval Treaty,0
12,Holdhurst,The Naval Treaty,1
13,I,The Naval Treaty,0
14,J.H.,The Naval Treaty,0
15,Jh,The Naval Treaty,0
16,Joseph Tut,The Naval Treaty,0
17,Lord Holmes,The Naval Treaty,1
18,Master Annie,The Naval Treaty,1
19,Miss Hudson,The Naval Treaty,1
20,Monsieur God,The Naval Treaty,0
21,Mr. Annie Hudson,The Naval Treaty,1
22,Mr. Briarbrae Harrison,The Naval Treaty,1
23,Mr. Harrison,The Naval Treaty,1
24,Mr. Hudson,The Naval Treaty,0
25,Mr. Joseph Tut,The Naval Treaty,1
26,Mr. Tut,The Naval Treaty,0
27,Mr. Watson,The Naval Treaty,0
28,Mrs. Charles,The Naval Treaty,0
29,Mrs. Dubuque,The Naval Treaty,1
30,Percy,The Naval Treaty,1
31,Sherlock Jh,The Naval Treaty,1
32,Tadpole,The Naval Treaty,0
33,Tangey,The Naval Treaty,1
34,The thief,The Naval Treaty,1
35,Tut,The Naval Treaty,1
36,Watson,The Naval Treaty,0
37,dr phelps,The Naval Treaty,0
38,forbes,The Naval Treaty,0
39,lounger,The Naval Treaty,0
40,my uncle,The Naval Treaty,1
41,my wife,The Naval Treaty,1
42,our client,The Naval Treaty,0
43,r,The Naval Treaty,0
44,red Watson,The Naval Treaty,0
45,she,The Naval Treaty,0
46,the clerk Jh,The Naval Treaty,1
47,the commissionnaire,The Naval Treaty,0
48,the commissionnaire's wife,The Naval Treaty,0
49,the detective,The Naval Treaty,0
50,the diplomatist,The Naval Treaty,1
51,the groom,The Naval Treaty,1
52,the policeman,The Naval Treaty,0
53,woman,The Naval Treaty,1
54,you,The Naval Treaty,0
