canonical_name,alias_name
Lady Gable Calloway,
Mr. Roberts Young,
Mr. Roberts Young,Young
Mr. Roberts Young,Mr. Young
Mr. Roberts Young,Roberts Young
Miss Scott Urban,
Miss Scott Urban,Scott Urban
Ziegler Zendaya,
Mrs. Davidson,
Mrs. Davidson,Davidson
Dr. Reynolds,
Dr. Reynolds,Reynolds
Mr. Davidson,
Dr. Dookie,
Lady Gable,
Miss Crowe,
Miss Crowe,Crowe
Mrs. Gaye,
Mrs. Gaye,Gaye
Dickinson,
Dr. Gaye,
Mr. Iger,
Mr. Iger,Iger
Eastwood,
Mrs. Day,
Dunaway,
Murdoch,
Theron,
Lewis,
Scott,
Adele,
Leto,
Garfunkel,
Berry,
Streep,
Adler,
Saldana,
Bening,
Devine,
Bradbury,
Blythe,
Fox,
Walken,
Hathaway,
Nixon,
Hanks,
