character1,character2,count
Dr. Jonathan Simon,Simon Gray,23
Mr. J. D'Arblay,Mr. Martha,13
Dr. Jonathan Simon,Mr. Martha,11
Dr. Jonathan Simon,Superintendent Hollands,11
Miss D'Arblay,Mr. J. D'Arblay,7
John Pylorus,Simon Gray,6
Miss Carolus,Miss Sarah,6
Boler,Mr. J. D'Arblay,5
Dr. Chappie Artemus,Dr. Jonathan Simon,5
Dr. Jonathan Simon,Dr. Woodford Freeman,5
Miss Van,Mr. J. D'Arblay,5
Pepper Dewsnep,Simon Gray,5
Dr. Jonathan Simon,Mr. J. D'Arblay,4
Dr. Pepys Cropper,Pepper Dewsnep,4
Miss Sarah,Simon Gray,4
Dr. Jonathan Simon,Miss Sarah,3
Dr. Woodford Freeman,Mr. Martha,3
Dr. Woodford Freeman,Woodford,3
Miss Carolus,Mr. Martha,3
Miss Carolus,Simon Gray,3
Miss Sarah,Mr. Martha,3
Mr. Martha,Superintendent Hollands,3
Anne,Dr. Chappie Artemus,2
Dr. Jonathan Simon,Miss Van,2
Dr. Jonathan Simon,Pepper Dewsnep,2
Dr. Pepys Cropper,Wilson,2
Miss Sarah,Pepper Dewsnep,2
Pepper,Pepper Dewsnep,2
Anne,Dr. Jonathan Simon,1
Anne,Simon Gray,1
Anne,Superintendent Hollands,1
Barber R,Dr. Chappie Artemus,1
Barber R,Simon Gray,1
Bendelow,Dr. Jonathan Simon,1
Bendelow,Superintendent Hollands,1
Boler,Miss D'Arblay,1
Boler,Miss Van,1
Boler,Mr. Martha,1
Cornish,Dr. Jonathan Simon,1
Cornish,Miss Carolus,1
Cornish,Miss Sarah,1
Cornish,Simon Gray,1
Cornish,Susan,1
Crile,Miss Van,1
Dr. Chappie Artemus,Dr. Woodford Freeman,1
Dr. Chappie Artemus,Simon Gray,1
Dr. Chappie Artemus,Superintendent Hollands,1
Dr. Chappie Artemus,act,1
Dr. Chappie Artemus,morris,1
Dr. Jonathan Simon,Dr. Porter,1
Dr. Jonathan Simon,Gawd,1
Dr. Jonathan Simon,Miss Carolus,1
Dr. Jonathan Simon,Susan,1
Dr. Jonathan Simon,Woodford,1
Dr. Jonathan Simon,act,1
Dr. Jonathan Simon,daddy,1
Dr. Pepys Cropper,Dr. Woodford Freeman,1
Dr. Pepys Cropper,Simon Gray,1
Dr. Porter,Gawd,1
Dr. Porter,act,1
Dr. Woodford Freeman,Mr. J. D'Arblay,1
Dr. Woodford Freeman,Superintendent Hollands,1
Garroll,Pepper,1
Garroll,Pepper Dewsnep,1
Gawd,Simon Gray,1
Lewis,Miss Van,1
Miss Carolus,Pepper Dewsnep,1
Miss Carolus,Susan,1
Miss Sarah,Susan,1
Mr. J. D'Arblay,Pepper Dewsnep,1
Mr. J. D'Arblay,Superintendent Hollands,1
Mr. Martha,Slingsby Jove,1
Pepper Dewsnep,Woodford,1
Polton,Woodford,1
Sergeant James,Sergeant Man,1
Sergeant James,Superintendent Hollands,1
Sergeant Man,Superintendent Hollands,1
Simon Gray,Susan,1
Simon Gray,Woodford,1
act,daddy,1
