canonical_name,alias_name
Aadil Madhuri Chaitanya,
Aadil Madhuri Chaitanya,Chaitanya
Aadil Madhuri Chaitanya,Aadil Chaitanya
Aadil Madhuri Chaitanya,Madhuri Chaitanya
Aadil Tejasswi Prerna,
Aadil Tejasswi Prerna,Prerna
Aadil Tejasswi Prerna,Tejasswi Prerna
Aadil Tejasswi Prerna,Mr. Tejasswi Prerna
Tanvi Tejasswi Prerna,
Aadil Sharman Surbhi,
Aadil Sharman Surbhi,Surbhi
Aadil Sharman Surbhi,Aadil Surbhi
Aadil Sharman Surbhi,Sharman Surbhi
Mr. Sharman Surbhi,
Mr. Sharman Surbhi,Mr. Surbhi
Mrs. Surbhi,
Mrs. Siddharth Ruchi,
Mrs. Siddharth Ruchi,Ruchi
Mrs. Siddharth Ruchi,Mrs. Ruchi
Chiranjeevi Bandita,
Anjali Chitrangada,
Anjali Chitrangada,Chitrangada
Mr. Reema Akshara,
Mr. Reema Akshara,Mr. Akshara
Mr. Kuldeep Divya,
Mr. Kuldeep Divya,Divya
Mr. Kuldeep Divya,Mr. Divya
Shriman Sidharth,
Miss Sania Gauri,
Miss Sania Gauri,Gauri
Miss Sania Gauri,Miss Gauri
Miss Sania Gauri,Sania Gauri
Shabana Muskaan,
Shabana Muskaan,Muskaan
Shailesh Guneet,
Gopika. Surbhi,
Vinita Neelam,
Anjali Ranjan,
Anjali Ranjan,Ranjan
Pallavi Sonam,
Pallavi Sonam,Sonam
Pallavi Sonam,Lady Sonam
Tabu Abhishek,
Tabu Abhishek,Abhishek
Ritesh Prerna,
Anjali Gauri,
Pritam Payal,
Nikita Manju,
Shruti Sahil,
Anjali Sania,
Anjali Sania,Sania
Ishaan Sonam,
Tanvi Surbhi,
Anjali Rajat,
Anjali Rajat,Rajat
Krish Nidhi,
Mohit Manas,
Navya Rohit,
Tabu Roshan,
Tanmay Amol,
Aadil Rajat,
Asha Rajat,
Saira Alia,
Anil Esha,
Mrs. Siddharth,
Doctor Monali,
Doctor Monali,Monali
Doctor Monali,Dr. Monali
Miss Lakshya,
Miss Lakshya,Lakshya
Priyadarshan,
Lady Anirudh,
Mrs. Monali,
Chiranjeevi,
Shakuntala,
Dharmendra,
Dr. Charu,
Mr. Kirti,
Mr. Kirti,Kirti
Akanksha,
Pallavi,
Madhuri,
Nandita,
Shriman,
Tanisha,
Ranveer,
Shalini,
Nushrat,
Sharman,
Kritika,
Urmila,
Anjali,
Tanmay,
Salman,
Ishaan,
Ritesh,
Shilpa,
Mukesh,
Pritam,
Neeraj,
Gopika,
Sakshi,
Akshay,
Farhan,
Tushar,
Riddhi,
Meenal,
Rajesh,
Mrunal,
Ranjit,
Mithun,
Ronit,
Nitin,
Arjun,
Naman,
Dhruv,
Vikas,
Karan,
Parth,
Anaya,
Varun,
Tanvi,
Kiara,
Komal,
Aadil,
Krish,
Bhumi,
Rekha,
Neetu,
Abhay,
Disha,
Medha,
Kiran,
Yami,
Asha,
Anil,
Jaya,
Shikha,
Simran,
Sohail,
Sameera,
Vishal,
Sushmita,
Kajol,
Hema,
Aparna,
Rajkummar,
Kavya,
Ruchika,
Leena,
Vinay,
Maanvi,
Neerja,
Abir,
Pushkar,
Yashwant,
Pramod,
Chandan,
