char_id,name,story_title,is_victim
1,Aberforth Jacob,The Adventure of the Red Circle,1
2,Alastor,The Adventure of the Red Circle,1
3,Animagus,The Adventure of the Red Circle,0
4,Arthur,The Adventure of the Red Circle,1
5,Black Arthur,The Adventure of the Red Circle,1
6,Credence,The Adventure of the Red Circle,0
7,Dr. Where,The Adventure of the Red Circle,1
8,Dungbomb Katie,The Adventure of the Red Circle,0
9,Emilia Tonks,The Adventure of the Red Circle,0
10,Hermione Arthur,The Adventure of the Red Circle,1
11,I,The Adventure of the Red Circle,0
12,Katie,The Adventure of the Red Circle,0
13,Madam,The Adventure of the Red Circle,0
14,Mr.,The Adventure of the Red Circle,0
15,Mr. Animagus,The Adventure of the Red Circle,0
16,Mr. Katie,The Adventure of the Red Circle,0
17,Mr. Mcgonagall,The Adventure of the Red Circle,1
18,Mr. Voldemort Sirius,The Adventure of the Red Circle,0
19,Mrs. Mcgonagall,The Adventure of the Red Circle,1
20,My darling,The Adventure of the Red Circle,0
21,Pettigrew,The Adventure of the Red Circle,0
22,Pinkerton man,The Adventure of the Red Circle,0
23,Prince Alastor,The Adventure of the Red Circle,0
24,Seeker,The Adventure of the Red Circle,0
25,Signora Tonks,The Adventure of the Red Circle,0
26,Them,The Adventure of the Red Circle,1
27,Them Tonks,The Adventure of the Red Circle,0
28,Where,The Adventure of the Red Circle,1
29,nimagus,The Adventure of the Red Circle,0
30,the girl,The Adventure of the Red Circle,0
31,the lodger,The Adventure of the Red Circle,0
32,the man who took the rooms,The Adventure of the Red Circle,0
