canonical_name,alias_name
Rev. J. D. Hunchback,
Rev. J. D. Hunchback,Hunchback
Professor Doctor Mason,
Professor Doctor Mason,Mason
Mr. Singapore Charlie,
Mr. Singapore Charlie,Charlie
Mr. Singapore Charlie,Singapore Charlie
Sir Caesar Stradwick,
Sir Caesar Stradwick,Stradwick
Mr. Southery Eltham,
Mr. Southery Eltham,Eltham
Mr. Southery Eltham,Mr. Eltham
Mr. Southery Eltham,Southery Eltham
Sir Crichton Davey,
Sir Crichton Davey,Davey
Sir Crichton Davey,SIR CRICHTON DAVEY
Crichton Mohammed,
Mr. Graham Vernon,
Mr. Graham Vernon,Vernon
Mr. Graham Vernon,Mr. Vernon
Mr. Graham Vernon,Graham Vernon
Nayland Hunchback,
Miss Hunchback,
Mr. Hunchback,
Lhassa Weymouth,
Lhassa Weymouth,Weymouth
Inspector Weymouth,
Mrs. Weymouth,
Mr. Weymouth,
Mr. Kwee Barber,
Mr. Kwee Barber,Barber
Mr. Kwee Barber,Mr. Barber
Mr. Kwee Barber,Kwee Barber
Fumanchu Mekara,
Sir Amenti West,
Sir Amenti West,SIR Amenti West
NAYLAND Barber,
James Weymouth,
Sir Moses Shen,
Sir Moses Shen,Shen
Sir Moses Shen,Moses Shen
Satan Lafitte,
Hadrian Fear,
Hadrian Fear,FEAR
Hadrian Fear,Dr. Fear
Norris Dolan,
Rohmer Henry,
Hung Edmonds,
Dusk Edward,
Dusk Edward,Edward
Mr. C. S.,
Sir F. M.,
Aziz Rex,
Inspector Denby,
Inspector Denby,Denby
Professor Lewin,
Miss Furneaux,
Platt-Houston,
Dr. Chinaman,
Dr. Chinaman,Chinaman
Shakespeare,
Mr. Rembold,
Yen-Sun-Yat,
Sir Caesar,
Stradwicks,
Karamaneh,
Sir Moses,
Sir Moses,SIR MOSES
Mrs. John,
Henderson,
Tongking,
Chalmers,
Wapping,
Andaman,
Nayland,
Effendi,
Shenyan,
Petrie,
Mr. Li,
Mr. Li,Li
Cleeve,
Lhassa,
Graham,
Jenner,
Lionel,
Taylor,
Lisle,
Honan,
Smith,
James,
Frank,
Mr. D,
Logan,
Ryman,
Cadby,
Kali,
Said,
Siva,
Kwee,
Kent,
Von,
Yan,
burboyne,
daveys,
wills,
stanislaus,
god,
guthrie,
manchu,
fu,
greba,
dan,
edwards,
nanyang,
barton,
strozza,
croxted,
amen,
fellah,
martin,
big,
ben,
bayard,
moreau,
narcombe,
homber,
inspector,
astern,
thames,
monde,
jack,
mary,
