character1,character2
Rajesh Shikha,Sherlock Kiran
Rajesh Shikha,Mitali Javed
Rajesh Shikha,Muskaan Kriti
Sherlock Kiran,Mitali Javed
Sherlock Kiran,Muskaan Kriti
Mitali Javed,Muskaan Kriti
Sherlock Kiran,Mr. Neerja Jaya
Friend MacDonald,Sherlock Kiran
Sherlock Kiran,Professor Niharika
Mr. Ishaan Hina,Friend MacDonald
Mr. Shraddha Fawad,Mr. Neerja Jaya
Mr. Ishaan Hina,Sherlock Kiran
Sherlock Kiran,Kiara Yash
Sherlock Kiran,Mr. Shraddha Fawad
Mitali Javed,Councillor McGinty
Dr. Suman,Mr. Shraddha Fawad
Dr. Suman,Sherlock Kiran
Brother Neerja McMurdo,Mike Anjali
Brother Neerja McMurdo,Mitali Javed
Councillor McGinty,Rajesh Shikha
Brother Neerja McMurdo,Teddy Chitrangada
Meher Hema,Councillor McGinty
Councillor McGinty,Teddy Chitrangada
Jacob Priyadarshan,Brother Neerja McMurdo
Captain Akshaye,Councillor McGinty
Brother Neerja McMurdo,Councillor McGinty
Brother Neerja McMurdo,Brother Dharmendra
Brother Dharmendra,Mitali Javed
Mike Anjali,Councillor McGinty
Mitali Javed,Teddy Chitrangada
Brother Neerja McMurdo,Rajesh Shikha
Riddhi Rohit,Teddy Chitrangada
Brother Neerja McMurdo,Muskaan Kriti
Mike Anjali,Kiara Yash
Riddhi Rohit,Councillor McGinty
Jacob Priyadarshan,Mike Anjali
Sahil Jaya,Mr. Neerja Jaya
Sahil Jaya,Muskaan Kriti
Mr. Neerja Jaya,Muskaan Kriti
Sherlock Kiran,Rajesh Shikha
