character1,character2
Dr. Jonathan Simon,Simon Gray
Julius D'Arblay,Miss D’Arblay
Dr. Jonathan Simon,Mr. Martha
Miss Van,Julius D'Arblay
Miss Van,Miss D’Arblay
Dr. Jonathan Simon,Julius D'Arblay
Dr. Jonathan Simon,Miss D’Arblay
Miss Van,The man
Julius D'Arblay,The man
Julius D'Arblay,John Pylorus
Dr. Jonathan Simon,Susan Sarah
Dr. Jonathan Simon,Cornish Carolus
Susan Sarah,Cornish Carolus
Susan Sarah,Simon Gray
Cornish Carolus,Simon Gray
Simon Gray,Dr. Pepys Cropper
Susan Sarah,Pepper Dewsnep
Pepper Dewsnep,Cornish Carolus
Pepper Dewsnep,Dr. Pepys Cropper
Dr. Woodford Freeman,Dr. Pepys Cropper
Simon Gray,Susan Sarah
Mr. Dewsnep,Pepper Dewsnep
Dr. Jonathan Simon,Dr. Woodford Freeman
Dr. Jonathan Simon,Dr. Porter
Julius D'Arblay,Dr. Woodford Freeman
The man,Dr. Porter
Miss D’Arblay,The man
Julius D'Arblay,Mr. Martha
Pepper Dewsnep,Julius D'Arblay
Pepper Dewsnep,Miss D’Arblay
Miss D’Arblay,John Pylorus
Dr. Jonathan Simon,Pepper Dewsnep
Simon Gray,Julius D'Arblay
Simon Gray,Miss D’Arblay
Dr. Jonathan Simon,The man
Dr. Woodford Freeman,Superintendent Hollands
Simon Gray,John Pylorus
Simon Gray,Barber R
Simon Gray,The man
Barber R,The man
Dr. Chappie Artemus,Barber R
Dr. Chappie Artemus,Superintendent Hollands
Dr. Jonathan Simon,Superintendent Hollands
Dr. Chappie Artemus,Dr. Jonathan Simon
Dr. Chappie Artemus,Simon Gray
Miss D’Arblay,Mr. Martha
Susan Sarah,Mr. Martha
Mr. Martha,Cornish Carolus
Mr. Martha,Dr. Woodford Freeman
Mr. Martha,Superintendent Hollands
Simon Gray,Cornish Carolus
Miss Van,Dr. Jonathan Simon
Julius D'Arblay,Dr. Jonathan Simon
The man,Superintendent Hollands
Julius D'Arblay,Superintendent Hollands
Simon Gray,Pepper Dewsnep
Inspector Solomon,Julius D'Arblay
Pepper Dewsnep,The man
Julius D'Arblay,Pepper Dewsnep
Dr. Chappie Artemus,Dr. Woodford Freeman
