character1,character2
Simon,Simon Enlarges His Knowledge
Simon,Simon Gray
Simon,Simon Proposes a New Move
Simon,Charles the Second
Charles the Second,Girl
Maiden,Charles the Second
Marion,Charles the Second
Dr Jonathan Simon,Simon
Charles the Second,Mr Martha
Simon,Mr Martha
Charles the Second,Dr Porter
Boler,Charles the Second
Darblay,Girl
Dr Woodford Freeman,Freeman Dr Freeman
Darblay,Charles the Second
Freeman Dr Freeman,Charles the Second
Professor Stephen,Charles the Second
Miss Darblay,Darblay
Miss Darblay,Charles the Second
Miss Van,Charles the Second
Simon Gray,Charles the Second
Pepper Dewsnep,Charles the Second
Pepper Dewsnep,Dewsnep
Charles the Second,Dewsnep
Wilson,Dr Pepys Cropper
Wilson,Charles the Second
Dr Pepys Cropper,Charles the Second
Dr Jonathan Simon,Charles the Second
Charles the Second,Simon
Artemus,Dr Chappie Artemus
Artemus,Charles the Second
Dr Chappie Artemus,Charles the Second
Charles the Second,Inspector Solomon
Charles the Second,Lewis
Miss Van,Lewis
Miss Van,Darblay
Boler,Miss Van
Charles the Second,Polton
Jonathan Bonington,Charles the Second
God,Charles the Second
John Pylorus,Charles the Second
Charles the Second,Pepper Dewsnep
Charles the Second,Garroll
Pepper Dewsnep,Garroll
Garroll,Dewsnep
Cornish Carolus,Simon
Cornish Carolus,Susan Sarah
Cornish Carolus,Simon Gray
Cornish Carolus,Charles the Second
Simon,Susan Sarah
Susan Sarah,Simon Gray
Susan Sarah,Charles the Second
Simon Gray,Dr Pepys Cropper
Cornish Carolus,Dewsnep
Dewsnep,Charles the Second
Dewsnep,Susan Sarah
Charles the Second,Susan Sarah
Dr Pepys Cropper,Dewsnep
Dr Pepys Cropper,Freeman Dr Freeman
Simon Gray,Susan Sarah
Morrises,Charles the Second
Charles the Second,Mr Dewsnep
Dewsnep,Mr Dewsnep
Bronzino,Charles the Second
Fortune,Charles the Second
My dear fellow,Charles the Second
Simon,Freeman Dr Freeman
Simon,Dr Porter
Charles the Second,Miss Van
Charles the Second,Darblay
Freeman Dr Freeman,Darblay
Darblay,Mr Martha
Simon,Darblay
Simon,Dewsnep
Charles the Second,Slingsby Jove
Mr Martha,Slingsby Jove
Charles the Second,Simon Proposes a New Move
Charles the Second,Superintendent Hollands
Charles the Second,Detective-Superintendent Hollands
Charles the Second,Hollands
Superintendent Hollands,Detective-Superintendent Hollands
Superintendent Hollands,Hollands
Detective-Superintendent Hollands,Hollands
Freeman Dr Freeman,Hollands
John Pylorus,Simon Gray
Barber R,Charles the Second
Barber R,Simon Gray
Charles the Second,Simon Gray
Anne,Charles the Second
Simon,Anne
Simon Gray,Anne
Artemus,Anne
Artemus,Barber R
Artemus,Hollands
Anne,Hollands
Simon,Hollands
Simon,Artemus
Artemus,Simon Gray
Cornish Carolus,Mr Martha
Mr Martha,Susan Sarah
Boler,Darblay
Charles the Second,Freeman Dr Freeman
Freeman Dr Freeman,Mr Martha
Mr Martha,Hollands
Mr Martha,Simon
Hollands,Simon
Tee,Charles the Second
Simon,Miss Van
Dr Woodford Freeman,Polton
Crile,Miss Van
Crile,Charles the Second
Boler,Miss Darblay
Detective-sergeant Man,Charles the Second
Superintendent Hollands,Bendelow
Superintendent Hollands,Simon
Superintendent Hollands,Charles the Second
Bendelow,Hollands
Bendelow,Simon
Bendelow,Charles the Second
Hollands,Charles the Second
Charles the Second,James
Detective-sergeant Man,Hollands
Detective-sergeant Man,James
Darblay,Hollands
Hollands,James
Simon Gray,Dewsnep
Charles the Second,Boler
Boler,Mr Martha
Simon,Dr Woodford Freeman
Dr Woodford Freeman,Charles the Second
Darblay,Dewsnep
Artemus,Freeman Dr Freeman
Simon Gray,Dr Woodford Freeman
Dr Woodford Freeman,Dewsnep
