character1,character2
Mr. Armstrong Cruz,Superintendent Cruz
Lady Brown,THE HONOURABLE MISS HARRIS
Lady Brown,Lord Harris
Lady Brown,Lady Brown Harris
THE HONOURABLE MISS HARRIS,Lord Harris
THE HONOURABLE MISS HARRIS,Lady Brown Harris
Lord Harris,Lady Brown Harris
Lady Brown,Sir Zhang
Lady Brown,Sir Zhang Hathaway
Sir Zhang,THE HONOURABLE MISS HARRIS
Sir Zhang,Sir Zhang Hathaway
THE HONOURABLE MISS HARRIS,Sir Zhang Hathaway
Miss Dano,Miss Dano Adam
Master Bach,Mr. Behar Quaid
Master Bach,Miss Dano Adam
Master Bach,Professor Behar
Master Bach,Mr. Bach Adam
Mr. Behar Quaid,Miss Dano Adam
Mr. Behar Quaid,Professor Behar
Mr. Behar Quaid,Mr. Bach Adam
Miss Dano Adam,Professor Behar
Miss Dano Adam,Mr. Bach Adam
Professor Behar,Mr. Bach Adam
Miss Dano Adam,DOCTOR Knopfler
Lieutenant Gable,Lady Brown
Miss Harris Benning,Miss Bradbury Sarandon
THE HONOURABLE MISS HARRIS,Miss Dano Adam
Miss Dano Adam,Lord Harris
Lady Brown,Miss Harris Benning
Sir Zhang,Miss Harris Benning
Lieutenant Gable,THE HONOURABLE MISS HARRIS
Miss Harris Benning,THE HONOURABLE MISS HARRIS
Miss Harris Benning,Mr. Armstrong Cruz
Miss Harris Benning,Superintendent Cruz
Lady Brown,Miss Bradbury Sarandon
Miss Harris Benning,Connelly Dookie
Aunt Ellis,Sir Zhang
Miss Harris Benning,Sir Zhang
Miss Harris Benning,Sir Zhang Hathaway
THE HONOURABLE MISS HARRIS,Connelly Dookie
Sir Zhang,Connelly Dookie
Lady Brown,Connelly Dookie
Snaky Jordan,Mr. Behar Quaid
Snaky Jordan,Professor Behar
Mr. Armstrong Cruz,THE HONOURABLE MISS HARRIS
Miss Ellis Harris,THE HONOURABLE MISS HARRIS
Miss Ellis Harris,Elsie McBride
THE HONOURABLE MISS HARRIS,Elsie McBride
Lieutenant Gable,Miss Bradbury Sarandon
Miss Bradbury Sarandon,Lady Brown
THE HONOURABLE MISS HARRIS,Miss Bradbury Sarandon
Aunt Ellis,Lady Brown
Aunt Ellis,THE HONOURABLE MISS HARRIS
Sir Zhang,Miss Bradbury Sarandon
THE HONOURABLE MISS HARRIS,Miss Harris Benning
Lady Brown,Mr. Paley
Sir Zhang Hathaway,THE HONOURABLE MISS HARRIS
Mr. Armstrong Cruz,Sir Zhang
Mr. Armstrong Cruz,Sir Zhang Hathaway
Miss Harris Benning,Mr. Kauffman O'neal
Sir Zhang,Mr. Kauffman O'neal
Lady Brown,Aunt Ellis
Lady Brown,Miss Ellis Harris
Lady Brown,Mr. Armstrong Cruz
Aunt Ellis,Miss Ellis Harris
Aunt Ellis,Mr. Armstrong Cruz
Aunt Ellis,Lady Brown Harris
THE HONOURABLE MISS HARRIS,Miss Ellis Harris
THE HONOURABLE MISS HARRIS,Mr. Armstrong Cruz
Miss Ellis Harris,Mr. Armstrong Cruz
Miss Ellis Harris,Lady Brown Harris
Mr. Armstrong Cruz,Lady Brown Harris
THE HONOURABLE MISS HARRIS,DOCTOR Knopfler
Mr. Armstrong Cruz,Connelly Dookie
Miss Harris Benning,Mr. Swift
Connelly Dookie,DOCTOR Knopfler
Sir Zhang Hathaway,Sir Zhang
Sir Zhang Hathaway,Lady Brown Harris
THE HONOURABLE MISS HARRIS,Sir Zhang
Sir Zhang,Lady Brown Harris
Miss Dano,Sir Zhang
Miss Harris Benning,Miss Dano
Miss Dano,Sir Zhang Hathaway
Miss Dano Adam,Sir Zhang
Miss Dano Adam,Sir Zhang Hathaway
Miss Harris Benning,Miss Dano Adam
Mr. Turner Parker,Sir Zhang
Miss Harris Benning,DOCTOR Knopfler
Lady Brown,Miss Dano Adam
Miss Dano,THE HONOURABLE MISS HARRIS
Sir Zhang,Miss Dano Adam
Miss Harris Benning,Lady Brown Harris
Mr. Swift,Miss Dano Adam
Miss Dano,Master Bach
Miss Dano,Miss Harris Benning
Miss Dano,Miss Bradbury Sarandon
Miss Dano,Mr. Bach Adam
Master Bach,Miss Harris Benning
Master Bach,Miss Bradbury Sarandon
Miss Harris Benning,Mr. Bach Adam
Miss Dano Adam,Miss Bradbury Sarandon
Miss Bradbury Sarandon,Mr. Bach Adam
THE HONOURABLE MISS HARRIS,Mr. Behar Quaid
Master Bach,THE HONOURABLE MISS HARRIS
Mr. Behar Quaid,THE HONOURABLE MISS HARRIS
THE HONOURABLE MISS HARRIS,Mr. Bach Adam
Miss Dano,DOCTOR Knopfler
Mr. Armstrong Cruz,DOCTOR Knopfler
Sir Zhang,DOCTOR Knopfler
Sir Zhang Hathaway,DOCTOR Knopfler
THE HONOURABLE MISS HARRIS,Zeta
Lieutenant Gable,Miss Harris Benning
Connelly Dookie,Mr. Ashley
Miss Harris Benning,Mr. Ashley
Mr. Turner Parker,Miss Harris Benning
Sir Zhang,Mr. Ashley
Mr. Armstrong Cruz,Mr. Ashley
Mr. Turner Parker,Lady Brown
Lieutenant Gable,Sir Zhang
Mr. Armstrong Cruz,Zeta
THE HONOURABLE MISS HARRIS,Jason Mcconaughey
Connelly Dookie,Professor Behar
Mr. Armstrong Cruz,Mr. Behar Quaid
Mr. Armstrong Cruz,Professor Behar
Miss Harris Benning,Mr. Behar Quaid
Lady Brown,Mr. Behar Quaid
Mr. Turner Parker,Mr. Behar Quaid
