character1,character2,count
Krum Witchcraft,Mr. Krum,12
Mr. Barty,Yaxley Bones,5
Dr. Regulus,Sherlock Umbridge,3
Krum Witchcraft,Sherlock Umbridge,3
Constable Malfoy,Yaxley Bones,2
Howler,Leta Granger,2
John Gilderoy Secrets,Mr. Barty,2
Krum Dungbomb,Mr. Krum,2
Mr. Barty,Oxshott,2
Oxshott,Viktor,2
Oxshott,Yaxley Bones,2
Aberforth,John Gilderoy Secrets,1
Dr. Regulus,Yaxley Bones,1
Find Triwizard,Narcissa,1
Find Triwizard,Oxshott,1
Howler,Mr. Longbottom,1
John Gilderoy Secrets,Krum Dungbomb,1
John Gilderoy Secrets,Mr. Krum,1
John Gilderoy Secrets,Oxshott,1
John Gilderoy Secrets,Sherlock Umbridge,1
John Gilderoy Secrets,Yaxley Bones,1
Krum Dungbomb,Mr. Barty,1
Krum Dungbomb,Sherlock Umbridge,1
Krum Dungbomb,Yaxley Bones,1
Krum Witchcraft,Leta Granger,1
Krum Witchcraft,Mr. Barty,1
Krum Witchcraft,Mr. Errol,1
Krum Witchcraft,Viktor,1
Krum Witchcraft,don,1
Leta Granger,Mr. Errol,1
Leta Granger,Mr. Longbottom,1
Leta Granger,inspector,1
Luna Goblet,Marquess of Montalva,1
Marauder,Mr. Barty,1
Mr. Barty,Viktor,1
Mr. Barty,aloysius,1
Mr. Errol,inspector,1
Mr. Krum,Sherlock Umbridge,1
Mr. Krum,Viktor,1
Mr. Longbottom,Wily,1
Narcissa,Oxshott,1
Oxshott,Sherlock Umbridge,1
Oxshott,lodge,1
Oxshott,wisteria,1
Sherlock Umbridge,inspector,1
Sir Nymphadora Ollivander,Tina Beasts,1
Sir Nymphadora Ollivander,Yaxley Bones,1
Tina Beasts,Yaxley Bones,1
Viktor,Yaxley Bones,1
Viktor,aloysius,1
Viktor,lodge,1
Viktor,wisteria,1
Yaxley Bones,aloysius,1
lodge,wisteria,1
