character1,character2,count
Jefferson,Jefferson Hope,37
John Ferrier,Lucy Ferrier,28
Mr. Sherlock Holmes,a,28
Enoch J. Drebber,Mr. Joseph Stangerson,20
Lucy Ferrier,a,18
Jefferson Hope,a,16
Enoch J. Drebber,a,15
Mr. Lestrade,a,14
Brigham Young,a,13
Jefferson,a,13
Lucy,Lucy Ferrier,13
Mr. Lestrade,Tobias Gregson,12
Mr. Joseph Stangerson,a,9
Tobias Gregson,a,8
Brigham Young,Enoch J. Drebber,7
John Ferrier,a,6
Lucy,a,6
Stamford,a,6
Jefferson Hope,Lucy,5
Brigham Young,Jefferson Hope,4
Brother Stangerson,Mr. Joseph Stangerson,4
Jefferson,Lucy,4
Jefferson,Lucy Ferrier,4
Jefferson Hope,Lucy Ferrier,4
John Rance,a,4
Mr. Lestrade,Mr. Sherlock Holmes,4
Mr. Sherlock Holmes,Tobias Gregson,4
a,square,4
Sawyer,a,3
Brigham Young,Lucy,2
Brigham Young,Lucy Ferrier,2
Brigham Young,Mr. Joseph Stangerson,2
Brigham Young,Stamford,2
Brother Drebber,Enoch J. Drebber,2
Cowper,a,2
Dr. Watson,a,2
Enoch J. Drebber,Jefferson,2
Enoch J. Drebber,Jefferson Hope,2
Harry Murcher,a,2
Lecoq,a,2
Lucy Ferrier,Mr. Joseph Stangerson,2
Mr. Joseph Stangerson,Mr. Lestrade,2
Rache,a,2
Sally,a,2
Sawyer,Tom Dennis,2
Tom Dennis,a,2
a,vehmgericht,2
whyte,william,2
Alice,a,1
Arthur,Mrs. Charpentier,1
Arthur,Tobias Gregson,1
Arthur,a,1
Bender,indian,1
Bender,pete,1
Bob,a,1
Brigham Young,Jefferson,1
Brigham Young,John Ferrier,1
Brigham Young,Johnston,1
Brigham Young,Joseph Smith,1
Brigham Young,Kemball,1
Brigham Young,Mrs. Charpentier,1
Brigham Young,Wiggins,1
Dolsky,Leturier,1
Dupin,Poe,1
Dupin,a,1
Enoch J. Drebber,Johnston,1
Enoch J. Drebber,Kemball,1
Enoch J. Drebber,Mrs. Charpentier,1
Enoch J. Drebber,e,1
Hones,johnny,1
Jefferson,John Ferrier,1
Jefferson,Mr. Joseph Stangerson,1
Jefferson Hope,John Ferrier,1
Jefferson Hope,Mr. Joseph Stangerson,1
Jefferson Hope,Mr. Sherlock Holmes,1
John Ferrier,Lucy,1
John Ferrier,Mr. Joseph Stangerson,1
John Rance,Mr. Sherlock Holmes,1
John Underwood,Mr. Sherlock Holmes,1
Johnston,Kemball,1
Johnston,Mr. Joseph Stangerson,1
Johnston,a,1
Kemball,Mr. Joseph Stangerson,1
Kemball,a,1
Keswick,Sawyer,1
Keswick,Tom Dennis,1
Keswick,a,1
Lefevre,Mason,1
Lefevre,Samson,1
Lucy,Mr. Joseph Stangerson,1
Mason,Samson,1
Mr. Joseph Stangerson,boccaccio,1
Mr. Lestrade,Rache,1
Mr. Lestrade,Rachel,1
Mr. Lestrade,co,1
Mr. Sherlock Holmes,Stamford,1
Mrs. Charpentier,Tobias Gregson,1
Murray,a,1
Norman Neruda,halle,1
Poe,a,1
Poncho,a,1
Rache,Rachel,1
Rachel,a,1
Tobias Gregson,co,1
Wiggins,a,1
a,carbonari,1
a,doyle,1
a,h,1
a,indian,1
a,malthus,1
carbonari,malthus,1
carbonari,vehmgericht,1
e,euclid,1
indian,pete,1
malthus,vehmgericht,1
