character1,character2
Krum Rose,Express Boggart
Mr. Katie Teddy,Express Boggart
Mr. Katie Teddy,Krum Rose
Chief Commissioner,Mr. Kreacher
Superintendent Grindelwald,Mr. Kreacher
Mr. Katie Teddy,Mr. Kreacher
Superintendent Grindelwald,Chief Commissioner
Superintendent Grindelwald,Express Boggart
Express Boggart,Mr. Kreacher
Rose Krum,Mr. Kreacher
Mr. Katie Teddy,Chief Commissioner
Superintendent Grindelwald,Mr. Katie Teddy
Potion Bowtruckle,Mr. Kreacher
Potion Bowtruckle,Miss Potion Bowtruckle Diggory
Mr. Kreacher,Miss Potion Bowtruckle Diggory
Miss Potion,Potion Bowtruckle
Mr. Katie Teddy,Miss Potion Bowtruckle Diggory
Krum Rose,Mr. Portkey
Mr. Katie Teddy,Mr. Portkey
Mr. Katie Teddy,Miss Cursed
Bowtruckle Astoria,Potion Bowtruckle
Miss Potion,Miss Potion Bowtruckle Diggory
Miss Potion,Mr. Kreacher
Miss Potion,Chief Commissioner
Express Boggart,Miss Potion Bowtruckle Diggory
Mrs. Arthur,Mr. Kreacher
Miss Potion,Mrs. Arthur
Mrs. Arthur,Potion Bowtruckle
Superintendent Grindelwald,Mrs. Arthur
Express Boggart,Rose Krum
Miss Cursed,Mr. Portkey
Mr. Katie Teddy,Miss Potion
Mr. Katie Teddy,Potion Bowtruckle
Sir Barty Diggory,Miss Potion Bowtruckle Diggory
Chief Commissioner,Potion Bowtruckle
Chief Commissioner,Miss Potion Bowtruckle Diggory
Krum Rose,Mr. Kreacher
Mr. Portkey,Mr. Kreacher
Miss Cursed,Miss Potion Bowtruckle Diggory
Superintendent Grindelwald,Krum Rose
Krum Rose,Mr. Katie Teddy
