canonical_name,alias_name
Miss Crumplehorn Gilderoy,
Miss Crumplehorn Gilderoy,Gilderoy
Miss Crumplehorn Gilderoy,Miss Gilderoy
Miss Crumplehorn Gilderoy,Crumplehorn Gilderoy
Grindelwald Crumplehorn,
Grindelwald Crumplehorn,Crumplehorn
Grindelwald Crumplehorn,Miss Crumplehorn
Grindelwald Horklump,
Grindelwald Horklump,Horklump
Quirrell Manticore,
Quirrell Manticore,Manticore
Grindelwald Fluffy,
Grindelwald Fluffy,Fluffy
Miss Fluffy,
Dr. Fluffy,
Mrs. Diagon Padma,
Mrs. Diagon Padma,Mrs. Padma
Marauder Gilderoy,
Mrs. Gilderoy,
Mr. Gilderoy,
Prisoner Minerva,
Malfoy Umbridge,
Fawkes Alastor,
Riddle Regulus,
Riddle Regulus,Regulus
Potter Jacob,
Inspector Ollivander,
Inspector Ollivander,Ollivander
Inspector Gryffindor,
Inspector Gryffindor,Gryffindor
Mrs. Ollivander,
Inspector Draco,
Inspector Draco,Draco
Miss Wizarding,
Mr. Halfblood,
Mr. Halfblood,Halfblood
Mr. Narcissa,
Mr. Narcissa,Narcissa
Mrs. Chaser,
Mrs. Peeves,
Grindelwald,
Bowtruckle,
Broomstick,
Marauder,
Quirrell,
Flitwick,
Kreacher,
Diggory,
Quaffle,
Dudley,
Muggle,
Malfoy,
Stone,
Colin,
Snape,
Lily,
Them,
Ginny,
Oliver,
Dennis,
Krum,
Newt,
Peverell,
Keeper,
Merope,
Snitch,
Angelina,
Credence,
Thestral,
Sirius,
Howler,
Quibbler,
McGonagall,
Firebolt,
Cho,
and,
Horace,
Severus,
Granger,
Invisibility,
Leta,
Ravenclaw,
Bones,
Triwizard,
Nimbus,
Order,
School,
Alley,
Karkaroff,
Dursley,
Molly,
Cedric,
Map,
Deathly,
Hat,
Goblet,
Moony,
Parvati,
Hogwarts,
Secrets,
Puffskein,
Prince,
Yaxley,
Aberforth,
Ron,
Veela,
Remus,
Platform,
Nymphadora,
Chudley,
Express,
Azkaban,
Acromantula,
Cissa,
George,
Barty,
Chamber,
Lethifold,
Find,
Katie,
Boggart,
Petunia,
Dumbledore,
Pansy,
Lucius,
Bludger,
Pomona,
Queenie,
Chimaera,
Lovegood,
Astoria,
Luna,
Wizardry,
Bathilda,
Fire,
