canonical_name,alias_name
Surbhi Swara Mohit,
Surbhi Swara Mohit,Mohit
Miss Pallavi Mohanlal,
Miss Pallavi Mohanlal,Mohanlal
Miss Pallavi Mohanlal,Miss Mohanlal
Mr. Kalyani Tanisha,
Mr. Kalyani Tanisha,Mr Tanisha
Mr. Kalyani Tanisha,Mr. Tanisha
Mr. Kalyani Tanisha,KALYANI TANISHA
Mr. Kalyani Tanisha,Kalyani Tanisha
Shalu Priyadarshan,
Shalu Priyadarshan,PRIYADARSHAN
Shalu Priyadarshan,Priyadarshan
Miss Hina Mohanlal,
Miss Hina Mohanlal,Hina Mohanlal
Mr. Ranjit Lakshya,
Mr. Ranjit Lakshya,Lakshya
Mr. Ranjit Lakshya,Mr. Lakshya
Mr. Ranjit Lakshya,Ranjit Lakshya
Lady Aditya Pavan,
Lady Aditya Pavan,Pavan
Lady Aditya Pavan,Aditya Pavan
Mr. Lara Mohanlal,
Mr. Lara Mohanlal,Mr. Mohanlal
Mr. Lara Mohanlal,Lara Mohanlal
Miss Richa Ramesh,
Miss Richa Ramesh,Ramesh
Miss Richa Ramesh,Miss Ramesh
Miss Richa Ramesh,Richa Ramesh
Sir Dhruv Farhan,
Sir Dhruv Farhan,Farhan
Sir Dhruv Farhan,Dhruv Farhan
Sir Dhruv Farhan,SIR Dhruv Farhan
Sir Sonali Ashok,
Mr. Manan Arjun,
Mr. Manan Arjun,Arjun
Mr. Manan Arjun,Manan Arjun
Mr. Anil Raghav,
Mr. Anil Raghav,Raghav
Mr. Anil Raghav,Mr. Raghav
Mr. Anil Raghav,Anil Raghav
Mohit Priyanka,
Mohit Priyanka,Priyanka
Mohit Priyanka,Mr. Priyanka
Mohit Priyanka,MOHIT PRIYANKA
Surbhi Leena,
Sanjay Arjun,
Ranjan Imran,
Bhumi Pritam,
Vinay Pavan,
Vinay Pavan,Miss Pavan
Vidya Vipin,
Sahil Arjun,
Surbhi Tia,
Komal Tabu,
Inspector Raghav,
Professor Manan,
Professor Manan,Manan
DOCTOR Anjali,
DOCTOR Anjali,Anjali
DOCTOR Anjali,Dr. Anjali
Dr. Mohanlal,
Lady Farhan,
Lady Farhan,LADY FARHAN
Lady Aditya,
Lady Aditya,Aditya
Lady Aditya,LADY ADITYA
Mr. Hrithik,
Mr. Hrithik,Hrithik
Chiranjeevi,
Miss Vinay,
Mr. Meenal,
Mr. Meenal,Meenal
Mrs. Sania,
Dharmendra,
Aishwarya,
Sir Dhruv,
Sir Dhruv,Dhruv
Sir Dhruv,SIR DHRUV
Chaitanya,
Mr. Kiara,
Mr. Kiara,Kiara
Miss Hina,
Miss Hina,Hina
Abhishek,
Niharika,
Sonakshi,
Deepika,
Muskaan,
Madhuri,
Sanjeev,
Bhavesh,
Prerna',
Prerna',Prerna
Radhika,
Pallavi,
Chandan,
Kareena,
Ranveer,
Shruti,
Saajan,
Arvind,
Surbhi,
Vinita,
Gaurav,
Nithya,
Sanjay,
Nikita,
Janhvi,
Shafaq,
Sarika,
Richa,
Sahil,
Tanvi,
Sneha,
Karun,
Sagar,
Divya,
Disha,
Rajat,
Komal,
Rohan,
Saif,
Lara,
Vishal,
Chandni,
Jagdeep,
Ronak,
Rekha,
Yash,
Suman,
Sohail,
Bandita,
