character1,character2,count
John Jack,Mr. Jingo,7
George Halloa,Miss Sherlock Halloa,4
John Jack,Mr. Cyril,4
Miss Sherlock Halloa,Sherlock,4
Mr. Cyril,Mr. Jingo,4
Kennedy,Miss Sherlock Halloa,2
Stamford,Stamford Smith,2
Bob Halloa,Miss Sherlock Halloa,1
Busybody Peter,Mr. Ralph Williamson,1
Farnham Williamson,Mr. Ralph Williamson,1
George Halloa,Mr. Jingo,1
John Jack,roaring,1
Kennedy,Mr. Ralph Williamson,1
Kennedy,Woodley Harden,1
Miss Sherlock Halloa,Mr. Jingo,1
Miss Sherlock Halloa,Stamford,1
Miss Sherlock Halloa,Stamford Smith,1
Miss Sherlock Halloa,archie,1
Mr. Jingo,roaring,1
Mr. Ralph Williamson,Stamford,1
Mr. Ralph Williamson,Stamford Smith,1
Sherlock,Stamford,1
Sherlock,Stamford Smith,1
Sherlock,archie,1
Sherlock,dixon,1
Stamford,archie,1
Stamford Smith,archie,1
