character1,character2,count
Miss Ashok Salman,Rev. Sameera Salman,117
Gauri,Miss Chandni Naman,65
Gauri,Miss Gauri Naman,62
Miss Chandni Naman,Miss Gauri Naman,62
Miss Chandni Naman,Rev. Sameera Salman,29
Darshan Mithun,Ruchika Saira,28
Miss Ashok Salman,Miss Chandni Naman,25
Miss Harsh,Miss Harsh Akshay,20
Arvind Siddharth,Miss Arvind,19
Sidharth,Sidharth Sneha,19
Rev. Darshan,Sir Darshan,17
Miss Chandni Naman,Miss Harsh Akshay,16
Nithya Ruchika,Ruchika Saira,16
Sidharth,Sidharth Shakuntala,15
Darshan Mithun,Nithya Ruchika,13
Gauri,Rev. Sameera Salman,12
Miss Chandni,Miss Chandni Naman,12
Ayush,Darshan Mithun,11
Gauri,Miss Ashok Salman,11
Ayush,Ayush Mithun,10
Ayush Mithun,Darshan Mithun,10
Miss Akanksha,Miss Chandni Naman,10
Miss Akanksha,Ruchika Saira,10
Miss Arvind,Miss Chandni Naman,10
Rev. Sameera,Rev. Sameera Salman,9
Gauri,Miss Harsh,8
Miss Akanksha,Nithya Ruchika,8
Miss Gauri Naman,Rev. Sameera Salman,8
Miss Ashok,Rev. Sameera Salman,7
Miss Ashok Salman,Miss Gauri Naman,7
Miss Chandni Naman,Miss Harsh,7
Nithya Ruchika,Rev. Sameera Salman,7
Gauri,Miss Harsh Akshay,6
Miss Ashok,Miss Ashok Salman,6
Rev. Darshan,Sir Darshan Manisha,6
Sir Darshan,Sir Darshan Manisha,6
Aditya,Rev. Sameera Salman,5
Arvind Siddharth,Miss Rahul,5
Arvind Siddharth,Rahul Siddharth,5
Charu,Darshan Mithun,5
Karisma,Sanjay,5
Miss Akanksha,Miss Harsh,5
Miss Akanksha,Miss Harsh Akshay,5
Miss Ashok Salman,Nithya Ruchika,5
Miss Ashok Salman,Sidharth,5
Miss Chandni Naman,Nithya Ruchika,5
Miss Gauri Naman,Miss Harsh,5
Miss Gauri Naman,Miss Harsh Akshay,5
Miss Rahul,Rahul Siddharth,5
Rev. Sameera Salman,Sidharth,5
Aditya,Aditya Salman,4
Aditya Salman,Rev. Sameera Salman,4
Charu,Ruchika Saira,4
Darshan Mithun,Miss Chandni Naman,4
Darshan Mithun,Miss Harsh Akshay,4
Gauri,Miss Chandni,4
Janhvi,Janhvi Irrfan,4
Meher,Shikha,4
Miss Arvind,Miss Ashok Salman,4
Miss Arvind,Miss Rahul,4
Miss Arvind,Rev. Sameera Salman,4
Miss Ashok Salman,Miss Chandni,4
Miss Chandni,Rev. Sameera Salman,4
Miss Chandni Naman,Pallavi,4
Miss Rahul,Rahul Nandita,4
Rev. Darshan,Taapsee,4
Arvind Siddharth,Miss Ashok Salman,3
Arvind Siddharth,Miss Harsh Akshay,3
Arvind Siddharth,Rev. Sameera Salman,3
Charu,Disha,3
Charu,Nithya Ruchika,3
Darshan Mithun,Miss Akanksha,3
Darshan Mithun,Rev. Darshan,3
Darshan Mithun,Sir Darshan Manisha,3
Disha,Miss Chandni Naman,3
Disha,Ruchika Saira,3
Gauri,Miss Akanksha,3
Gauri,Rev. Sameera,3
Gauri,Sanjay,3
Kiran,Mr. Kiran Swara,3
Mayank,Miss Chandni Naman,3
Miss Akanksha,Miss Ashok Salman,3
Miss Akanksha,Miss Gauri Naman,3
Miss Akanksha,Mrs. Kalyani,3
Miss Akanksha,Rev. Sameera Salman,3
Miss Chandni Naman,Mr. Pallavi Naman,3
Miss Chandni Naman,Mr. Simran,3
Miss Chandni Naman,Mrs. Asha,3
Miss Chandni Naman,Mrs. Bipasha,3
Miss Chandni Naman,Mrs. Chiranjeevi Ruchi,3
Miss Chandni Naman,Mrs. Shalu,3
Miss Chandni Naman,Rev. Darshan,3
Miss Chandni Naman,Rev. Sameera,3
Miss Chandni Naman,Sidharth,3
Miss Jaya,Rev. Sameera Salman,3
Mr. Neerja,Neerja Tanushree,3
Mr. Pallavi Naman,Pallavi,3
Mr. Simran,Nithya Ruchika,3
Mr. Simran,Ruchika Saira,3
Pallavi,Sir Pallavi Aparna,3
Rev. Darshan,Ruchika Saira,3
Rev. Sameera Salman,Ruchika Saira,3
Ruchika Saira,Taapsee,3
Sir Saif,Sir Saif Ranveer,3
Aditya,Tia,2
Alok,Zara,2
Anaya,Miss Vinita,2
Anaya,Sania,2
Arvind Siddharth,Miss Harsh,2
Arvind Siddharth,Mr. Simran,2
Arvind Siddharth,Rahul Nandita,2
Ayush,Nithya Ruchika,2
Ayush,Ruchika Saira,2
Ayush Mithun,Nithya Ruchika,2
Ayush Mithun,Ruchika Saira,2
Darshan Mithun,Gauri,2
Darshan Mithun,Miss Ashok Salman,2
Darshan Mithun,Miss Gauri Naman,2
Darshan Mithun,Mr. Ramya,2
Darshan Mithun,Mrs. Asha,2
Darshan Mithun,Parineeti,2
Darshan Mithun,Rev. Sameera,2
Darshan Mithun,Rev. Sameera Salman,2
Darshan Mithun,Sir Darshan,2
Darshan Mithun,Zeeshan,2
Darshan Naman,Miss Chandni Naman,2
Darshan Naman,Rev. Darshan,2
Gauri,Mayank,2
Janhvi Irrfan,Rev. Sameera,2
Karisma,Nithya Ruchika,2
Mayank,Miss Gauri Naman,2
Miss Akanksha,Mrs. Chiranjeevi Ruchi,2
Miss Akanksha,Pushkar,2
Miss Akanksha,Shriman,2
Miss Arvind,Pushkar,2
Miss Arvind,Rahul Siddharth,2
Miss Ashok,Miss Chandni Naman,2
Miss Ashok Salman,Miss Jaya,2
Miss Ashok Salman,Miss Vinita,2
Miss Ashok Salman,Mr. Ramya,2
Miss Ashok Salman,Mr. Simran,2
Miss Ashok Salman,Mrs. Chiranjeevi Ruchi,2
Miss Ashok Salman,Rev. Darshan,2
Miss Ashok Salman,Sidharth Shakuntala,2
Miss Chandni,Miss Gauri Naman,2
Miss Chandni,Miss Yami,2
Miss Chandni,Pallavi,2
Miss Chandni Naman,Miss Jaya,2
Miss Chandni Naman,Miss Yami,2
Miss Chandni Naman,Ruchika Saira,2
Miss Gauri Naman,Rev. Sameera,2
Miss Harsh,Ruchika Saira,2
Miss Harsh Akshay,Ruchika Saira,2
Miss Harsh Akshay,Sonakshi,2
Miss Jaya,Sidharth,2
Miss Jaya,Sidharth Sneha,2
Miss Rahul,Pushkar,2
Miss Vinita,Rev. Sameera Salman,2
Miss Vinita,Sania,2
Miss Yami,Pallavi,2
Mr. Alia,Ruchika Saira,2
Mr. Neerja,Rev. Sameera,2
Mr. Neerja,Ruchika Saira,2
Mr. Ramya,Rev. Sameera Salman,2
Mr. Simran,Rev. Sameera Salman,2
Mr. Vipin,Rev. Sameera Salman,2
Mr. Vipin,Roshan,2
Mrs. Asha,Ruchika Saira,2
Mrs. Chiranjeevi Ruchi,Rev. Sameera Salman,2
Mrs. Kalyani,Sidharth,2
Mrs. Kalyani,Sidharth Sneha,2
Mrs. Mrunal,Ruchika Saira,2
Neerja Tanushree,Ruchika Saira,2
Nithya Ruchika,Rev. Darshan,2
Nithya Ruchika,Taapsee,2
Pushkar,Ruchika Saira,2
Rahul Nandita,Rahul Siddharth,2
Rev. Darshan,Rev. Sameera Salman,2
Rev. Sameera,Ruchika Saira,2
Rev. Sameera Salman,Sidharth Shakuntala,2
Sir Hrithik,Sir Hrithik Prateek,2
Aadil,Neha,1
Aadil,Nithya Ruchika,1
Abhay,Janhvi,1
Abhay,Janhvi Irrfan,1
Abhishek,Kuldeep,1
Abhishek,Neeraj,1
Aditi Anushka,Karisma,1
