canonical_name,alias_name
Miss Potion Bowtruckle Diggory,
Miss Potion Bowtruckle Diggory,Diggory
Miss Potion Bowtruckle Diggory,Miss Diggory
Miss Potion Bowtruckle Diggory,Potion Bowtruckle Diggory
Fantastic Philosopher,
Lestrange Umbridge,
Bowtruckle Astoria,
Bowtruckle Astoria,Astoria
Wormtail Umbridge,
Sir Barty Diggory,
Sir Barty Diggory,Barty Diggory
Dennis Longbottom,
Potion Bowtruckle,
Potion Bowtruckle,Bowtruckle
Gilderoy Hallows,
Aberforth Nimbus,
Azkaban Artifact,
Express Boggart,
Express Boggart,Boggart
Mrs. Boggart,
Mr. Boggart,
Mr. Katie Teddy,
Mr. Katie Teddy,Teddy
Mr. Katie Teddy,Mr Teddy
Mr. Katie Teddy,Mr. Teddy
Mr. Katie Teddy,Katie Teddy
Weasley Boggart,
Moony Quirrell,
Dursley Goblet,
Parvati Bones,
Bludger Tina,
Bludger Tina,Tina
Sprout Ron,
Rose Krum,
Rose Krum,Sir Krum
Krum Rose,
Krum Rose,Rose
Krum Rose,Mr. Rose
Superintendent Grindelwald,
Superintendent Grindelwald,Grindelwald
Mr. Grindelwald,
Mr. Wizarding,
Mrs. Horklump,
Dr. Patronus,
Lady Diggory,
Mr. Kreacher,
Mr. Kreacher,Kreacher
Mr. Portkey,
Mr. Portkey,Portkey
Miss Cursed,
Miss Cursed,Cursed
Mrs. Arthur,
Mrs. Arthur,Arthur
Miss Potion,
Miss Potion,Potion
Ollivander,
Hufflepuff,
Karkaroff,
Voldemort,
Mrs. Leta,
Wormtail,
Marauder,
Narcissa,
Hermione,
Weasley,
Express,
Queenie,
Neville,
Petunia,
Vernon,
Diagon,
Fawkes,
Hagrid,
George,
Riddle,
Harry,
Dobby,
Barty,
Jacob,
Padma,
Find,
Luna,
Hat,
Witchcraft,
Basilisk,
Scorpius,
Cedric,
Wizardry,
Centaur,
Animagus,
Quaffle,
Andromeda,
Pettigrew,
Invisibility,
Alley,
Credence,
Oliver,
Minerva,
Where,
Weasley's,
Mandrake,
Lovegood,
Firebolt,
Manticore,
and,
Broomstick,
Padfoot,
