canonical_name,alias_name
Broomstick Acromantula,
Broomstick Acromantula,Acromantula
Crumplehorn Witchcraft,
Philosopher Basilisk,
Miss Binns Karkaroff,
Miss Binns Karkaroff,Karkaroff
Miss Binns Karkaroff,Miss Karkaroff
Miss Binns Karkaroff,Binns Karkaroff
Halfblood Cattermole,
Diggory Acromantula,
Miss Tonks Peverell,
Miss Tonks Peverell,Peverell
Miss Tonks Peverell,Miss Peverell
Miss Tonks Peverell,Tonks Peverell
Graphorn Tournament,
Graphorn Tournament,Tournament
Sir Triwizard Dobby,
Sir Triwizard Dobby,Dobby
Mrs. Moony Express,
Mrs. Moony Express,Express
Mrs. Moony Express,Mrs. Express
Mrs. Moony Express,Moony Express
Lestrange Express,
Gryffindor Rubeus,
Granger Manticore,
Granger Manticore,Manticore
Crumplehorn Find,
Cissa Ollivander,
Cissa Ollivander,Ollivander
Howler Thestral,
Aberforth Snape,
Bellatrix Molly,
Bones Slughorn,
Bones Slughorn,Slughorn
Mrs. Slughorn,
Mr. Slughorn,
Lucius Dursley,
Nimbus Minerva,
Diagon Riddle,
Fawkes Sirius,
Errol Express,
Oliver Peeves,
Vernon Veela,
Vernon Veela,Mrs. Veela
Fire Keeper,
Ron Petunia,
Bludger Tom,
Bludger Tom,Tom
And Padfoot,
And Padfoot,Padfoot
Cho Weasley,
Cho Weasley,Weasley
Moony Leta,
Moony Leta,Leta
Map Krum,
Inspector Marauder,
Inspector Marauder,Marauder
Father Patronus,
Father Patronus,Patronus
Mr. Hogsmeade,
Mr. Hogsmeade,Hogsmeade
Sir Triwizard,
Sir Triwizard,Triwizard
Mrs. Credence,
Mrs. Credence,Credence
Mrs. Dungbomb,
Mrs. Prisoner,
Mr. Mandrake,
Mr. Mandrake,Mandrake
Mr. Marauder,
Dr. Firebolt,
Philosopher,
Mr. Deathly,
Mr. Deathly,Deathly
Lady Fluffy,
Lady Fluffy,Fluffy
Mrs. Muggle,
Father Tina,
Dr. Secrets,
Dr. Secrets,Secrets
Crumplehorn,
Broomstick,
Mrs. Barty,
McGonagall,
Hufflepuff,
Lady Dobby,
Mrs. Harry,
Mrs. Harry,Harry
Mr. Prince,
Mr. Prince,Prince
Dumbledore,
Bowtruckle,
Mr. Pomona,
Mr. Pomona,Pomona
Hippogriff,
Dr. Stone,
Dr. Stone,Stone
Mr. Teddy,
Mr. Teddy,Teddy
Lestrange,
Puffskein,
Slytherin,
Graphorn,
Angelina,
Quibbler,
Bathilda,
Scorpius,
Hermione,
Wizardry,
Horklump,
Gilderoy,
Wormtail,
Buckbeak,
Erumpent,
Umbridge,
Chudley,
Parvati,
Bludger,
Queenie,
Phoenix,
Severus,
Centaur,
Sorting,
Diggory,
Neville,
Granger,
Boggart,
Astoria,
Fenrir,
Cursed,
Viktor,
Cedric,
Seeker,
Oliver,
Chaser,
Potter,
Yaxley,
Vernon,
Fawkes,
Hagrid,
Malfoy,
Snitch,
Binns,
Pansy,
Katie,
Moony,
Tonks,
Jacob,
Colin,
Albus,
Errol,
Draco,
Remus,
Bones,
James,
Rose,
Fred,
Flitwick,
Goblet,
Crimes,
Horace,
George,
Hogwarts,
Chamber,
Sprout,
Weasley's,
Regulus,
Platform,
Hat,
Eileen,
Andromeda,
Wands,
Niffler,
Newt,
Portkey,
Where,
Luna,
Narcissa,
Black,
Potion,
Voldemort,
Fantastic,
Snidget,
Lily,
Them,
Alastor,
Longbottom,
Ginny,
Padma,
Dudley,
Dennis,
Wizarding,
Child,
Lovegood,
Fleur,
Merope,
Fudge,
Pettigrew,
Chimaera,
Hallows,
Kreacher,
Animagus,
School,
Beasts,
Grindelwald,
Ravenclaw,
Artifact,
Quaffle,
Lethifold,
Arthur,
Nymphadora,
Lee,
Quirrell,
Alley,
Azkaban,
Order,
