character1,character2
Sir Moses Shen,Sir Moses
Dr. Chinaman,Sir Moses Shen
Dr. Chinaman,Sir Moses
Mr. Kwee Barber,Sir Moses
Detective-Inspector Weymouth,Mr. Kwee Barber
Detective-Inspector Weymouth,Sir Moses
Dr. Chinaman,Mr. Kwee Barber
Sir Moses,DOCTOR Inspector-Siva
Major-General Platt-Houston,Sir Moses
Sir Moses Shen,Mr. Kwee Barber
Mr. Kwee Barber,DOCTOR Inspector-Siva
Mr. Singapore Charlie,Mr. Graham Vernon
Mr. Kwee Barber,"Jenner, the Honan"
Rev. J. D. Hunchback,Dr. Chinaman
"Jenner, the Honan",Mr. Kwee Barber
Rev. J. D. Hunchback,Mr. Kwee Barber
Rev. J. D. Hunchback,Dusk Edward
Rev. J. D. Hunchback,DOCTOR Inspector-Siva
Dusk Edward,DOCTOR Inspector-Siva
Mr. Southery Eltham,DOCTOR Inspector-Siva
Sir Caesar Stradwick,DOCTOR Inspector-Siva
Detective-Inspector Weymouth,"Jenner, the Honan"
Sir Caesar Stradwick,Detective-Inspector Weymouth
Sir Caesar Stradwick,Mr. Kwee Barber
Sir Caesar Stradwick,Dr. Chinaman
Mr. Kwee Barber,Mr. Graham Vernon
Mr. Graham Vernon,DOCTOR Inspector-Siva
Hadrian Fear,Dr. Chinaman
Hadrian Fear,DOCTOR Inspector-Siva
Dr. Chinaman,DOCTOR Inspector-Siva
Detective-Inspector Weymouth,Mr. Southery Eltham
Mr. Southery Eltham,Detective-Inspector Weymouth
Mr. Southery Eltham,Mr. Kwee Barber
Lord Andaman,Mr. Kwee Barber
Lord Andaman,Sir Amenti West
Sir Amenti West,Mr. Kwee Barber
Lord Andaman,DOCTOR Inspector-Siva
Lord Andaman,Dr. Chinaman
Mr. Li,Mr. Kwee Barber
Lord Andaman,Mr. Li
Hadrian Fear,Detective-Inspector Weymouth
Hadrian Fear,Mr. Kwee Barber
Detective-Inspector Weymouth,DOCTOR Inspector-Siva
Inspector Denby,Detective-Inspector Weymouth
Professor Doctor Mason,"Jenner, the Honan"
Professor Doctor Mason,Mr. Kwee Barber
