canonical_name,alias_name
M.R.C.S.,
So hail Mitali,
So hail Mitali,Mitali
So hail Mitali,Mr. Mitali
A. Conan Doyle,
Mlle. Carére,
Rear-Admiral Ramesh,
Rear-Admiral Ramesh,Ramesh
Sir William Ramesh,
Mr. Mahesh Ramesh,
Mr. Mahesh Ramesh,Mahesh Ramesh
Sir Mahesh Ramesh,
Sir Irrfan Ramesh,
Sir Irrfan Ramesh,Irrfan Ramesh
Mr. Sohail Mitali,
Mr. Sohail Mitali,Sohail Mitali
Dr. Sameer Rakul,
Dr. Sameer Rakul,Rakul
Dr. Sameer Rakul,Dr. Rakul
Dr. Sameer Rakul,Sameer Rakul
Pavan Siddharth,
Mrs. Ravi Kiran,
Mrs. Ravi Kiran,Kiran
Mrs. Ravi Kiran,Mrs. Kiran
Mrs. Ravi Kiran,Ravi Kiran
Priyanka Garcia,
Dharmendra Abir,
Sir Pavan Imran,
Colonel Meenal,
Colonel Meenal,Meenal
Anirudh Pramod,
Sameer Desmond,
Sameer Desmond,Desmond
Naman Urmila,
Naman Urmila,Urmila
Baker Street,
Rani Ramesh,
De Abhishek,
Rajeev Mire,
Lafter Hall,
Neha Ramesh,
Ramesh Hall,
Lord Monali,
Mme. Pooja,
Mrs. Manisha,
Chitrangada,
Mr. Anushka,
Mr. Anushka,Anushka
Miss Ranjan,
Miss Ranjan,Ranjan
Mrs. Ranjan,
Mrs. Amrita,
Mrs. Amrita,Amrita
Mr. Ranjan,
Sir Irrfan,
Sir Irrfan,Irrfan
Sir Mahesh,
Sir Mahesh,Mahesh
Cyclopides,
Dr. Kiara,
Dr. Kiara,Kiara
Robinson,
Priyanka,
Madhavan,
Foulmire,
Darshan,
Bradley,
Kalyani,
Marcini,
Karisma,
Ruchika,
Genelia,
Mangles,
Sohail,
Mukesh,
Keshav,
Tushar,
Maanvi,
Holmes,
Nithya,
Sameer,
Prerna,
Farhan,
Rajeev,
Payal,
Aadil,
Virat,
Mohit,
Naman,
Fawad,
Pavan,
Karun,
Mansi,
Leena,
Neha,
Yash,
Ross,
Rani,
Irrf,
Alok,
sherlock,
hindhead,
haslemere,
henry,
baskerville,
watson,
james,
mortimer,
jove,
monsieur,
bertillon,
charles,
hugo,
clarendon,
michaelmas,
rodger,
john,
elizabeth,
barrymore,
murphy,
frankland,
stapleton,
hottentot,
perkins,
halloa,
wilson,
cartwright,
theophilus,
johnson,
oldmore,
grimpen,
clayton,
selden,
george,
beryl,
jack,
eliza,
barrymores,
l,
laura,
lyons,
coombe,
tracey,
morland,
regina,
stapletons,
kneller,
rodney,
pitt,
lestrade,
vandeleur,
meyers,
upwood,
montpensier,
carere,
fraser,
anthony,
antonio,
reszkes,
